unit,cycles_count,cycle_length,first_s1,first_s2,first_s3,first_s4,first_s5,first_s6,first_s7,first_s8,first_s9,first_s10,first_s11,first_s12,first_s13,first_s14,first_s15,first_s16,first_s17,first_s18,first_s19,first_s20,first_s21,last_s1,last_s2,last_s3,last_s4,last_s5,last_s6,last_s7,last_s8,last_s9,last_s10,last_s11,last_s12,last_s13,last_s14,last_s15,last_s16,last_s17,last_s18,last_s19,last_s20,last_s21
39,128,128,518.67,642.72,1592.37,1410.0,14.62,21.61,552.82,2388.12,9043.49,1.3,47.64,521.78,2388.1,8133.27,8.4451,0.03,392.0,2388.0,100.0,38.9,23.2947,518.67,643.66,1604.19,1428.14,14.62,21.61,550.68,2388.3,9036.1,1.3,48.27,518.83,2388.31,8106.63,8.5148,0.03,395.0,2388.0,100.0,38.5,23.0281
40,188,188,518.67,642.71,1594.14,1412.72,14.62,21.61,552.9,2388.08,9051.76,1.3,47.59,521.25,2388.07,8134.87,8.4417,0.03,394.0,2388.0,100.0,38.61,23.2017,518.67,643.87,1611.92,1432.96,14.62,21.61,551.08,2388.23,9142.42,1.3,48.03,520.33,2388.25,8202.76,8.535,0.03,397.0,2388.0,100.0,38.37,23.1022
41,216,216,518.67,642.66,1581.02,1400.05,14.62,21.61,554.87,2387.99,9064.13,1.3,47.19,522.24,2388.08,8153.35,8.413,0.03,391.0,2388.0,100.0,38.94,23.3608,518.67,643.51,1603.91,1428.74,14.62,21.61,551.53,2388.16,9152.86,1.3,48.34,520.07,2388.17,8214.55,8.4999,0.03,398.0,2388.0,100.0,38.25,23.1237
42,196,196,518.67,642.6,1580.46,1394.47,14.62,21.61,554.81,2388.08,9061.05,1.3,47.38,521.97,2388.03,8144.4,8.4151,0.03,391.0,2388.0,100.0,38.87,23.3795,518.67,643.34,1597.41,1427.68,14.62,21.61,551.04,2388.29,9066.91,1.3,47.97,519.68,2388.26,8133.97,8.5161,0.03,395.0,2388.0,100.0,38.43,22.995
43,207,207,518.67,642.56,1579.64,1392.51,14.62,21.61,554.3,2387.98,9056.32,1.3,47.08,522.02,2388.04,8139.17,8.3782,0.03,393.0,2388.0,100.0,38.84,23.3701,518.67,643.99,1599.57,1427.53,14.62,21.61,550.73,2388.37,9035.0,1.3,48.03,519.37,2388.3,8113.24,8.4916,0.03,397.0,2388.0,100.0,38.44,22.9936
44,192,192,518.67,642.34,1588.01,1399.96,14.62,21.61,554.28,2388.03,9061.49,1.3,47.17,522.14,2388.02,8145.19,8.4232,0.03,391.0,2388.0,100.0,39.06,23.3551,518.67,643.95,1608.5,1438.96,14.62,21.61,552.03,2388.17,9079.75,1.3,48.05,519.87,2388.23,8155.1,8.5266,0.03,396.0,2388.0,100.0,38.39,22.9435
45,158,158,518.67,642.4,1584.27,1403.72,14.62,21.61,554.81,2387.99,9071.34,1.3,47.13,522.49,2387.95,8150.67,8.3918,0.03,391.0,2388.0,100.0,39.15,23.4142,518.67,643.7,1598.55,1437.88,14.62,21.61,551.59,2388.23,9095.15,1.3,48.29,519.83,2388.23,8160.09,8.5497,0.03,396.0,2388.0,100.0,38.22,23.0342
46,256,256,518.67,642.37,1597.38,1391.37,14.62,21.6,553.92,2388.04,9063.04,1.3,47.2,522.42,2388.01,8137.89,8.4154,0.03,391.0,2388.0,100.0,39.13,23.3629,518.67,644.44,1602.57,1433.99,14.62,21.61,550.75,2388.25,9041.98,1.3,48.22,519.48,2388.32,8118.01,8.5052,0.03,397.0,2388.0,100.0,38.38,23.017
47,214,214,518.67,642.27,1581.75,1402.34,14.62,21.61,554.99,2387.98,9059.4,1.3,47.21,522.64,2387.99,8144.86,8.4063,0.03,392.0,2388.0,100.0,39.09,23.2883,518.67,643.5,1602.64,1433.3,14.62,21.61,551.7,2388.21,9107.27,1.3,48.28,519.72,2388.22,8176.36,8.5238,0.03,395.0,2388.0,100.0,38.48,23.1299
48,231,231,518.67,642.39,1576.34,1403.88,14.62,21.61,554.29,2388.01,9062.79,1.3,47.39,521.98,2388.02,8148.9,8.4149,0.03,391.0,2388.0,100.0,39.01,23.4323,518.67,644.02,1609.54,1435.19,14.62,21.61,551.65,2388.52,9228.53,1.3,47.98,520.53,2388.55,8290.25,8.4923,0.03,398.0,2388.0,100.0,38.45,23.0188
49,215,215,518.67,642.31,1595.57,1401.2,14.62,21.61,553.33,2388.12,9041.44,1.3,47.52,521.72,2388.12,8128.95,8.419,0.03,394.0,2388.0,100.0,38.87,23.3481,518.67,644.2,1593.84,1433.24,14.62,21.61,550.72,2388.26,9058.19,1.3,48.26,519.25,2388.3,8138.39,8.5046,0.03,396.0,2388.0,100.0,38.46,23.0171
50,198,198,518.67,642.12,1582.5,1400.44,14.62,21.61,553.76,2388.05,9057.95,1.3,47.31,521.97,2388.08,8141.04,8.4366,0.03,394.0,2388.0,100.0,38.96,23.3947,518.67,643.83,1608.2,1433.88,14.62,21.61,552.06,2388.2,9128.91,1.3,48.01,520.0,2388.25,8200.2,8.5002,0.03,396.0,2388.0,100.0,38.43,23.1086
51,213,213,518.67,641.83,1583.55,1408.68,14.62,21.61,553.56,2387.98,9065.98,1.3,47.25,521.79,2387.99,8149.56,8.3884,0.03,391.0,2388.0,100.0,39.08,23.3214,518.67,644.11,1606.6,1428.55,14.62,21.61,551.6,2388.56,9244.59,1.3,47.89,520.2,2388.54,8293.72,8.5306,0.03,397.0,2388.0,100.0,38.39,23.0958
52,213,213,518.67,642.67,1587.47,1405.02,14.62,21.61,553.94,2388.11,9049.17,1.3,47.5,521.23,2388.08,8130.94,8.3885,0.03,394.0,2388.0,100.0,38.77,23.3636,518.67,643.67,1601.99,1436.34,14.62,21.61,552.28,2388.18,9119.4,1.3,48.18,519.23,2388.21,8181.73,8.5159,0.03,397.0,2388.0,100.0,38.35,23.015
53,195,195,518.67,642.33,1589.39,1407.73,14.62,21.61,554.42,2388.09,9065.54,1.3,47.47,522.14,2388.1,8146.36,8.4451,0.03,392.0,2388.0,100.0,38.91,23.2416,518.67,644.18,1612.63,1423.19,14.62,21.61,552.53,2388.14,9162.47,1.3,48.18,519.68,2388.17,8230.96,8.5196,0.03,396.0,2388.0,100.0,38.32,23.0419
54,257,257,518.67,642.55,1582.13,1395.54,14.62,21.61,554.37,2388.02,9056.97,1.3,47.16,521.64,2388.05,8139.33,8.39,0.03,390.0,2388.0,100.0,39.16,23.3164,518.67,643.8,1601.79,1433.26,14.62,21.61,551.37,2388.16,9155.85,1.3,48.15,519.57,2388.15,8220.23,8.5295,0.03,395.0,2388.0,100.0,38.3,23.05
55,193,193,518.67,642.58,1583.77,1407.45,14.62,21.61,554.39,2388.1,9041.62,1.3,47.39,521.5,2388.1,8133.23,8.4287,0.03,393.0,2388.0,100.0,38.95,23.3957,518.67,644.01,1605.12,1433.56,14.62,21.61,551.8,2388.14,9202.75,1.3,48.19,520.36,2388.16,8257.58,8.531,0.03,397.0,2388.0,100.0,38.49,23.1604
56,275,275,518.67,642.57,1591.56,1405.96,14.62,21.61,553.34,2388.12,9055.81,1.3,47.38,521.93,2388.1,8133.85,8.4444,0.03,391.0,2388.0,100.0,38.75,23.3174,518.67,644.09,1600.47,1427.24,14.62,21.61,551.44,2388.16,9145.5,1.3,48.16,519.87,2388.19,8217.25,8.5243,0.03,396.0,2388.0,100.0,38.27,23.0597
57,137,137,518.67,642.64,1593.48,1402.4,14.62,21.61,553.58,2388.07,9049.3,1.3,47.41,521.82,2388.08,8136.11,8.3973,0.03,391.0,2388.0,100.0,38.96,23.3836,518.67,644.15,1596.45,1432.49,14.62,21.61,550.95,2388.32,9036.5,1.3,48.26,519.07,2388.28,8108.28,8.5533,0.03,394.0,2388.0,100.0,38.24,23.0412
58,147,147,518.67,642.71,1587.27,1405.1,14.62,21.61,553.55,2387.99,9063.94,1.3,47.4,521.98,2388.0,8145.98,8.3982,0.03,391.0,2388.0,100.0,39.03,23.4821,518.67,643.75,1593.77,1438.22,14.62,21.61,551.29,2388.28,9047.79,1.3,48.33,519.77,2388.33,8119.76,8.519,0.03,395.0,2388.0,100.0,38.29,23.185
59,231,231,518.67,642.23,1583.85,1394.9,14.62,21.61,554.96,2388.01,9054.46,1.3,47.12,522.76,2387.99,8138.74,8.4077,0.03,390.0,2388.0,100.0,38.95,23.3631,518.67,643.47,1599.56,1425.87,14.62,21.61,550.88,2388.28,9063.69,1.3,48.14,519.09,2388.24,8141.32,8.5155,0.03,395.0,2388.0,100.0,38.44,23.0258
60,172,172,518.67,642.65,1585.71,1394.7,14.62,21.61,554.13,2388.14,9044.2,1.3,47.69,521.92,2388.11,8135.39,8.4409,0.03,392.0,2388.0,100.0,38.89,23.3721,518.67,643.62,1605.19,1434.09,14.62,21.61,551.21,2388.18,9141.47,1.3,48.04,520.44,2388.22,8205.47,8.5322,0.03,396.0,2388.0,100.0,38.23,22.954
61,185,185,518.67,641.89,1582.05,1399.41,14.62,21.61,554.88,2387.98,9063.7,1.3,47.15,522.36,2388.01,8140.09,8.3703,0.03,391.0,2388.0,100.0,39.27,23.4459,518.67,643.39,1604.83,1426.0,14.62,21.61,551.12,2388.26,9038.93,1.3,48.23,519.82,2388.27,8109.39,8.519,0.03,397.0,2388.0,100.0,38.34,22.984
62,180,180,518.67,642.77,1588.2,1413.2,14.62,21.61,553.04,2388.07,9060.26,1.3,47.55,521.52,2388.1,8140.43,8.4479,0.03,392.0,2388.0,100.0,38.94,23.2366,518.67,643.49,1595.1,1427.51,14.62,21.61,551.09,2388.28,9037.02,1.3,48.16,519.68,2388.31,8123.28,8.5442,0.03,396.0,2388.0,100.0,38.35,23.0042
63,174,174,518.67,642.61,1585.01,1405.59,14.62,21.61,553.95,2388.07,9050.26,1.3,47.38,521.24,2388.09,8137.64,8.395,0.03,392.0,2388.0,100.0,38.98,23.4455,518.67,643.43,1603.87,1424.72,14.62,21.61,551.7,2388.16,9175.01,1.3,48.21,520.16,2388.16,8239.45,8.5265,0.03,397.0,2388.0,100.0,38.31,23.2228
64,283,283,518.67,642.36,1586.12,1408.33,14.62,21.61,553.72,2388.06,9061.0,1.3,47.36,522.38,2388.02,8139.39,8.4304,0.03,393.0,2388.0,100.0,38.91,23.325,518.67,643.88,1605.47,1425.77,14.62,21.61,550.6,2388.17,9111.28,1.3,48.15,519.54,2388.22,8181.59,8.5458,0.03,397.0,2388.0,100.0,38.45,23.1041
65,153,153,518.67,642.2,1586.71,1398.93,14.62,21.61,554.78,2387.93,9055.53,1.3,47.12,522.03,2388.05,8141.36,8.4242,0.03,392.0,2388.0,100.0,39.12,23.4108,518.67,643.95,1592.45,1432.83,14.62,21.61,551.19,2388.28,9030.23,1.3,48.08,519.73,2388.34,8109.49,8.5197,0.03,396.0,2388.0,100.0,38.37,23.1362
66,202,202,518.67,642.5,1589.58,1408.97,14.62,21.61,553.37,2388.08,9055.8,1.3,47.6,521.13,2388.08,8139.28,8.4472,0.03,394.0,2388.0,100.0,38.83,23.2739,518.67,643.88,1607.66,1429.38,14.62,21.61,551.53,2388.23,9071.25,1.3,48.19,519.38,2388.25,8147.9,8.5382,0.03,396.0,2388.0,100.0,38.38,23.1412
67,313,313,518.67,642.52,1583.12,1398.16,14.62,21.61,553.89,2388.09,9062.52,1.3,47.28,521.92,2388.04,8134.47,8.4813,0.03,391.0,2388.0,100.0,39.03,23.3564,518.67,643.57,1599.78,1424.96,14.62,21.61,551.3,2388.29,9074.14,1.3,48.28,520.29,2388.21,8146.04,8.5668,0.03,397.0,2388.0,100.0,38.45,23.1288
68,199,199,518.67,642.25,1589.89,1408.15,14.62,21.61,553.31,2388.07,9065.09,1.3,47.29,521.73,2388.11,8141.65,8.4583,0.03,394.0,2388.0,100.0,38.71,23.3029,518.67,643.88,1609.59,1430.17,14.62,21.61,551.47,2388.2,9158.41,1.3,48.16,519.72,2388.14,8226.34,8.5196,0.03,395.0,2388.0,100.0,38.4,23.0888
69,362,362,518.67,641.96,1587.1,1400.65,14.62,21.61,553.68,2388.0,9054.19,1.3,47.34,522.03,2388.03,8136.88,8.4094,0.03,392.0,2388.0,100.0,38.87,23.4081,518.67,643.75,1598.16,1428.28,14.62,21.61,551.55,2388.31,9054.19,1.3,48.02,519.12,2388.33,8124.27,8.5126,0.03,397.0,2388.0,100.0,38.42,22.9782
70,137,137,518.67,642.26,1588.45,1400.02,14.62,21.61,552.94,2388.09,9065.41,1.3,47.61,521.18,2388.07,8138.06,8.43,0.03,392.0,2388.0,100.0,38.81,23.418,518.67,643.39,1602.76,1434.81,14.62,21.61,551.64,2388.17,9106.12,1.3,48.16,519.6,2388.25,8173.73,8.5312,0.03,396.0,2388.0,100.0,38.49,23.1398
